dundalk_bay;000024
gashun;003879
stettin_lagoon;003883
monte_alegre_lake;00388d
revillagigedo_high_sea6;0038a6
frobisher_bay;0038b0
sayram_lake;0038ba
medvezhye;0038ce
elibinibid_point;0038d8
gourdon;003910
kirzhach;00391a
eastern_southern_ocean;003924
berg;003938
canada_high_sea6;0039fb
gloucester_islands_high_sea_3;003a65
itarim_lake;003a79
pacific_south_equatorial_current32;003a83
pacific_south_equatorial_current47;003a88
south_china_sea27;003a9c
pacific_north_current73;003aa6
umkomazi_mouth;003ab0
corangamite_lake;003aba
onashaga_channel;003ac4
aono_raina_high_sea_6;003ace
balakan;003b29
hudson_bay_high_sea9;003bdd
skwierzyna;003bfb
heby;003c0a
la_plata_river_mouth;003c5b
uyana;003c6a
yirrkala_coast;003c74
mius_liman;003c7e
pacific_south_equatorial_current35;003c88
ratak_high_sea_6;003c92
wallagaraugh_river_mouth;003c9c
kozara;003cb0
tlicho_uplands;003cb5
indian_equatorialcountercurrent9;003cc9
dzagyal;003d0b
gebergeyel;003d1f
aim_maia;003d29
goroz;003d33
teocak;003d3d
herzberg;003d47
atlantic_southcurrent35;003d4c
perm;003df1
ubinskoye;003dfb
ostashkov;003e60
tuzkan_lake;003e6a
kakachischuan_point;003e74
pacific_north_equatorial_current52;003e7e
mille_lacs_lake;003e88
pacific_south_equatorial_current50;003e92
canada_high_sea10;003ea1
byron_island;003eab
kattashor_lake;003ec9
majuro_atoll;003f01
jawan;003f0b
yazoo;003f1f
yegindybulak;003f29
rozdory;003f2e
petacalco_bay;003f38
qianjiang_shaoqing;003f42
pyrzyce;003fd3
andrott_coast;003fdd
lake_upemba;003fe2
indian_southequatorialcurrent17;003fec
vindeln;004060
tupuai_high_sea_6;004079
ngabang;004083
australia_highseas_55;00408d
pacific_south_equatorial_current51;004097
caxiuana_bay;0040a1
northern_trucial_coast;0040b5
revillagigedo_high_sea10;0040bf
ukomno_om;004101
loloda;00411a
ahna_wate;004124
dehram;00412e
laukas;004138
valkeasaari;004142
vyazma;0041e2
aono_raina_high_sea_15;0041ec
pelymskiy_tuman;0041f6
sastmola;00424c
qishn_bay;004256
tungaru_high_sea_4;00425b
pacific_polynesia_current8;004265
weda_bay;004279
canacari_lake;004283
pacific_south_equatorial_current15;00428d
air_hitam_bay;0042a6
chopim;004310
urzhum;00431a
poigan;004324
indian_monsooncurrent14;0043ce
san_bernandino_strait;0043e2
lamotrek_coast;0043ec
indian_southequatorialcurrent8;0043f1
indian_southequatorialcurrent18;0043fb
ras_al_ain;004451
lake_eyasi;00445b
dung_lake;004465
pacific_north_current22;004479
pampa_coast;004483
pacific_north_equatorial_current45;004488
tagloc_gulf;004492
lake_marchica;00449c
paris;0044aa
nihoa_coast_1;0044b0
santa_maria_cape;0044ba
botkul;004510
daning_kuizhou;00451a
menongue;004529
kotawaringin_lama;004533
tartar_strait;0045ce
indian_monsooncurrent5;0045d3
seguam_coast1;0045dd
indian_equatorialcountercurrent8;0045e7
reao_high_sea_1;0045fb
cape_tujau;00463d
greenland_coast11;004665
bitburg;00466a
mehetia_coast;00467e
cape_hope_islands;004688
nunam_iqua_cove;0046a6
raybag;004715
pacific_north_current68;0047c9
cape_yevstafiya;0047dd
gurramkonda;0047e7
tristan_high_coast3;0047f1
tappahanna;00483d
indonesia_high_sea6;004847
novo_alexandrovskoye;00484c
joensuu;004856
caribe_sea3;004860
hamun_lora;004888
pacific_north_equatorial_current50;004892
yanci;00490b
east_pacific_high_sea13;0049b5
pacific_north_current44;0049bf
perth_bay;0049ec
siberian_lakes_1;0049f6
szrensk;004a4c
singkil;004a56
atlantic_azores_current7;004a60
lida;004a6a
raro_matai_ma_high_sea_4;004a97
talbot_lake;004aa1
ncando;004b0b
mianzhu;004b10
caravelas;004b1a
canada_high_sea17;004b8c
us_kyuyol;004bb5
disappointment_islands_high_sea_2;004bbf
pacific_north_current42;004bc4
chasico_lake;004bd8
indian_monsooncurrent2;004be2
mariana_islands_high_sea_6;004c38
sto_lo;004c42
mocozo;004c4c
cohansey;004c5b
atlantic_equatorial_countercurrent6;004c79
south_china_sea46;004c83
norfolk_high_sea_2;004c8d
denmark_strait1;004c97
manuae_coast;004ca1
himalaya8;004d06
acatic;004d10
western_atlantic_high_sea35;004d24
matsuyker_shore;004db0
australia_highseas_63;004dba
aquiatulavik_bay;004dc4
henderson_coast;004dd8
kyiv;004df1
pacific_hawaii_current6;004e38
copuz;004e3d
amisk;004e47
corralero_lagoon;004e51
indonesia_high_sea71;004e5b
shantarskiye_island;004e65
ahunui_coast;004e6f
yeagarup_coast;004e88
asila_arabia;004f10
saarde;004f1a
takkyel_lake;004fba
lake_palvozero;004fc4
outer_sawu_coast;004fce
hatten_headland;004fdd
popham_bay;004fe7
tandil_coast;004ff1
ungava_bay_high_sea;004ffb
camp_po_thit;005029
wusun;00503d
indian_coast22;005047
uchami;00505b
atlantic_labrador_current5;005065
nassau_river_mouth;005074
marjina_horka;005092
sentachan;00509c
chertanla;005101
saugeen;00510b
wotje_coast_1;0051b0
monterey_coast;0051bf
kyubyainde;0051c9
east_pacific_high_sea17;0051fb
smila;00521f
baimachen;005229
mendota;00523d
mechetnaya;005247
north_eastern_atlantic25;00524c
australia_highseas_14;005256
abyan_coast;005274
pacific_kuro_current15;005297
firuzabad;005301
ekwan;00530b
wekwayik;005315
ulegir;0053a1
indian_lake_upland;0053ab
macquarie_heads_shore;0053b5
faroe_islands1;0053bf
nukutavake_coast;0053c9
lake_sugla;0053d3
pacific_north_current50;0053dd
melsungen;0053e2
itandeua_lake;0053ec
blanche_lake;0053f6
chenggong;00541f
yuyang;005429
meyami;00542e
duanxi;005438
north_eastern_atlantic9;00544c
lake_starnberg;00546a
bundjalung;005474
sea_of_japan15;005483
kuki_airani_high_sea_22;00548d
cuautla;00550b
wyborn_reef_coast;0055a1
western_atlantic_high_sea55;0055ab
vianden;0055bf
pacific_south_equatorial_current42;0055c4
lake_tanganyika;0055ce
kamtchatka_coast8;0055e2
east_china_sea6;0055ec
zaci;00561a
pohnpei;005624
small_sea;00562e
african_high_sea16;005642
indian_coast20;00564c
istokpoga_lake;00566f
rybachy_peninsula;005679
arbroath;00568d
south_eastern_pyrenees;005706
ksiaz_wielki;0057a1
fernando_noronha_high_sea2;0057a6
pacific_south_equatorial_current16;0057ba
mangareva_high_sea_3;0057c4
hon_me_island;0057ce
tuamotu_high_sea_2;0057d8
gangbei_harbour;0057e2
mackay_lake_australia;0057ec
mbanza_nsundi;00581a
pacific_south_current61;005824
shravasti;00582e
quasmigdo;005838
blanca_lagoon;00583d
east_erg_aoukar;005851
kuki_airani_high_sea_19;00585b
sayda;00586f
porwi_bay;005879
lake_kubenskoye;005883
pagan_island;005906
uruguay_river;005992
alas_strait;00599c
tapachollan_coast;0059b0
aitutaki_coast;0059ba
flinders_bay;0059d3
southern_timor_coast;0059e7
kamtchatka_coast5;0059fb
ichon;005a10
daoba;005a1f
chipata;005a3d
ganggalida;005a47
indian_coast37;005a51
khorbusuonka;005a65
atlantic_azores_current1;005a74
atlantic_north_equatorial_current22;005a7e
arabian_sea8;005b9c
ogasawara_islands_high_sea_5;005bb0
amurang_bay;005bbf
lake_durgun;005bdd
remscheid;005be7
big_island;005bf1
etoho;005c0b
khagaria;005c15
dehcho_uplands;005c1f
winda_winda;005c29
mangin_range1;005c33
kaposvar;005c3d
mingyi;005c47
milyutinskaya;005c4c
north_eastern_atlantic37;005c56
atlantic_labrador_current2;005c74
andaman_sea7;005d88
caguya_lake;005d92
atlantic_equatorial_countercurrent17;005d97
pacific_north_equatorial_current21;005db5
pacific_south_equatorial_current1;005dbf
pacific_south_equatorial_current36;005dd3
south_china_sea4;005de2
lake_bay;005dec
pacific_north_current48;005df6
amis;005e01
rutok;005e29
pacific_equatorial_countercurrent32;005e38
siberian_tundra_5;005e4c
molde;005e6a
noyuo;005e79
western_atlantic_high_sea75;005f8d
magan;005fab
pacific_north_equatorial_current12;005fb5
laran;005fbf
cape_canding;005fce
motal;005fe2
south_china_sea26;005fec
sandakan;006001
garengaze;00601a
ulkayak;006024
gushan;00602e
bayan_susu;006038
waluulapam;006042
mattawa;006056
syrian_desert_corridor13;006065
western_atlantic_high_sea52;006183
atlantic_north_equatorial_current31;00618d
ogasawara_islands_high_sea_9;0061a1
bonndorf;0061a6
melenki;0061b0
pielinen;0061ba
tristan_high_coast9;0061ce
kosichkoj;0061d8
hoytiainen;0061ec
lake_zegoserskoje;0061f1
siberian_wasteland_6;006210
menghai;00621a
nurota;006224
jarrarah;006238
hitchiti;00623d
saldanha_bay;006247
termez;006251
north_eastern_atlantic30;00625b
namsam_range;00626f
north_creek_coast;0062fb
makigotekw;006388
chincoteague_bay;0063d3
belau_high_sea_4;0063dd
bath;0063e7
bondo;00641f
pacific_south_current29;00643d
central_apennines6;006447
suomussalmi;006451
cape_pengal;00646a
tuvalu_high_sea_11;0064f1
nelson_strait;0064fb
zolotiinka;00657e
tatakoto_high_sea_2;006588
pacific_polynesia_current12;00659c
madre_lagoon;0065a6
pacific_north_current28;0065b5
scammon_bay;0065dd
alexandrovskoye;00660b
jinjiang;006615
north_pacific_high_sea75;00661f
ailinginae_atoll;006629
suixian;00663d
budaun;006656
xiangshan;006660
badlands_mt_2;00676a
japan_high_sea3;006774
kangaamiut_coast;006797
pacific_polynesia_current19;0067a1
north_sea8;0067ab
caspian_sea16;0067b5
marokau_coast;0067c9
arabian_sea2;0067d3
pacific_south_equatorial_current17;0067dd
eimastukwek;006829
ukasikalik;00682e
methye;006842
minehead;006856
pangyang;006860
uch_barchik;006974
west_taurus_4;006979
arakhan_coast;006983
charles_island;0069a1
bustamante_bay;0069ab
bjorna_fjord;0069b5
east_china_sea5;0069ce
herrera;006a10
haugalandet;006a1a
moma_katwoi;006a24
kyzylkum_desert;006a38
xungake;006a42
waru_bay;006a56
vaarn_yechgyn;006ae2
keneme_cape;006aec
inner_onega_bay;006af6
north_eastern_atlantic44;006b65
pacific_tasmania_current8;006b6f
banda_sea4;006b83
western_atlantic_high_sea59;006bba
frenchman_bay;006bd8
vorkuta;006c10
saintala;006c1a
hoachanas;006c24
lingchuan_zezhou;006c2e
laptev_sea;006c47
south_china_sea17;006c51
frankenberg;006cfb
karkar_island;006d5b
minisose;006d65
south_china_sea33;006d83
neufchateau_luxembourg;006d88
atlantic_equatorial_countercurrent15;006db0
feia_lake;006dc4
pacific_north_equatorial_current5;006dce
subi_archipelago1;006dd3
pedrika_desert;006e10
tokrau;006e1a
bisotun;006e1f
kankakee;006e29
chekurovka;006e33
north_andaman;006e47
kuchugunnur;006efb
gulf_mexico20;006f65
oparo_high_sea_4;006f6a
kamrau_bay;006f74
atlantic_gulf_stream16;006f88
bala;006f92
skaga_fjord;006f9c
indawgy_lake;006fb0
keller_lake;006fbf
belcher_islands_coast5;006fc9
omusee;007001
tchesha;00700b
lad_konin;00701f
mbosaksawaas;007029
gujou;007033
yap_high_sea_5;00703d
pakin_coast;00704c
pacific_south_equatorial_current28;0070fb
sinj;007156
yos_sudarso_bay;007160
skaapirox;007174
atlantic_southcurrent48;007188
atlantic_azores_current4;007192
dezadeash_lake;007197
kiyuska;0071a1
mere_lava_island;0071ab
hauraki_gulf;0071b5
froward_pass;0071bc
merseburg;0071c9
capoque;007201
mueng_fa_daet;00720b
yaporox;00721f
veekuhane;007229
atrakwaye;00722e
promsa;007238
bigan;007242
pacific_north_equatorial_current33;0072e2
otway_sound;0072ec
kampar;00734c
wadadokado;00736a
kunlun4;007374
gestenthorpe;0073a1
pacific_kuro_current11;0073ab
blanca_bay;0073b5
bilauktaung_range3;007401
huili;00740b
yscani;007410
thayet;00741a
bagagem;007424
western_atlantic_high_sea24;007438
kadjerong;007442
qinlingshan4;0074d8
lake_sergozero;0074e2
caribe_sea25;0074f6
boyauli;00754c
chinili;007556
bohol_strait;00755b
north_eastern_atlantic49;00756f
norfolk_high_sea_4;0075a6
lac_de_gras;0075b0
itatupa_jungle;007606
malemiut_plains;00761a
oshawa;007624
huambo;00762e
buiunda;007638
wimanja;00763d
pacific_north_equatorial_current16;0076e2
ang_laren_lake;0076ec
mouth_of_thlewiaza;0076fb
grindsted;007700
liuyang;007747
kuanhe;007751
kupka;00775b
kungarakany;007765
schoodic_ridge;00776f
quiteta_coast;007779
guzhou;007783
basilan_strait;00779c
greenland_coast5;0077a6
kolpny;0077b0
okhona;007829
keyikte;007833
tao_lake;0078c4
tonle_sap_lake;0078ce
morane_coast_1;0078dd
mengzi;00793d
north_eastern_atlantic76;007951
isfara;00795b
george_islands_high_sea_3;007965
angadippuram;00796a
north_eastern_atlantic59;007974
indonesia_high_sea63;007988
brzeznica;007992
lake_topozero;0079b5
tonghai;007a01
sosnovy_ostrov;007a1f
gorkha;007a29
chagos_high_sea_4;007ac9
pacific_north_current32;007add
dianshan_lake;007ae7
high_atlas2;007af1
fakahina_coast_1;007afb
rochefort;007b3d
pacific_equatorial_countercurrent20;007b47
tongbai;007b60
blanco_lake;007b6a
indian_high_sea5;007b74
manipa_strait;007b88
mitsiadazi;007b92
tombo_point;007ba1
turov;007bab
ivanpah;007c0b
leuven;007c1f
hawaii_high_sea03;007c29
chembar;007c2e
bikar_coast_1;007cbf
caribe_sea7;007cdd
pacific_north_current36;007ce2
mnitanka;007d38
andrott_atoll;007d4c
obaska;007d56
kuerchu;007d6a
atlantic_gulf_stream2;007d97
pouh_island;007dab
bag_ngula;007e0b
tumul;007e10
mandjar;007e1a
east_pacific_high_sea9;007eb5
caspian_sea37;007ec4
obrestad_cape;007ed8
arabian_sea9;007eec
marin_coast;007ef6
piumhi;007f2e
wekwee_ti;007f38
yapen_island;007f42
galich;007f4c
hindu_kush4;007f56
oboyan;007f5b
pohoko_ikkatee;007f6f
indian_high_sea12;007f79
indonesia_high_sea62;007f8d
aru_bay;007fa1
trasigang;008010
anding_mashan;00801a
japan_high_sea7;0080b0
cape_flesko;0080ba
caspian_sea13;0080d8
fonseca_bay;0080f1
pacific_north_equatorial_current25;0080fb
north_pacific_high_sea31;00812e
acambaro;00813d
pacific_south_current8;008147
ajayameru;00815b
concepcion_bay;008165
te_henua_enana_high_sea_8;008179
karen_hills2;008183
guahan_high_sea_1;008188
atlantic_irminger_current16;008192
hepu;008210
kilenge;00821a
zubala;00821f
taihangshan2;0082a6
whitefish_bay;0082b0
cape_range_coast;0082ba
syrian_desert5;0082c4
togiak_harbour;0082d3
morsha;0082dd
unica;008333
western_atlantic_high_sea38;00833d
pacific_hawaii_current3;008347
lishan_xinyang;008365
split_lake;00836a
redscar_bay;00837e
bitterroot;008388
atlantic_southcurrent7;00839c
manhuacu;00840b
lake_oigon;0084a6
oland_coast;0084b0
atlantic_north_equatorial_current6;0084b5
peloponnesian_mountains2;0084bf
king_george_sound;0084c9
mansel_island3;0084d3
shalkar_lake;0084e7
iro_lake;0084fb
sonod;00851f
mempawah;008533
zary;00854c
african_high_sea35;00856a
norwegian_sea20;008574
proszowice;00857e
eastern_atlantic_highseas_4;008588
mariana_islands_high_sea_11;008592
sart;008601
caratasca_lagoon;0086bf
minjilang_coast;0086c9
pacific_polynesia_current26;0086d3
skaneateles_lake;0086dd
santa_barbara_coast;0086e2
mctavish_island;0086ec
lumpur;008729
pacific_south_current46;00872e
pacific_south_current68;008738
north_letota;008756
koskoak;008760
lake_markakol;008774
minyirr;008779
indian_high_sea24;008783
unda;008801
ongoulastoga;008810
siberian_tundra_9;0088ab
caribe_sea14;0088bf
matagorda_bay;0088c4
quge;0088d8
baicang;0088e2
gulf_manfredonia;0088ec
alapaha;008924
chan_bo;00892e
okhotsk_high_sea24;008942
jequitinhonha_delta;00894c
north_eastern_atlantic71;00895b
mavliberda;008965
igumbi_andele;008979
tubula_point;008983
cowie_bay;008a97
atlantic_southcurrent16;008ab0
atlantic_north_equatorial_current23;008ac4
pacific_polynesia_current31;008ae2
tristan_high_coast11;008aec
east_pacific_high_sea83;008af1
pacific_north_current34;008afb
c_nuchiu_range;008b1a
chengshan;008b24
ogain;008b2e
yicheng;008b38
phu_wiang;008b47
gulf_thailand2;008b79
lingayen_gulf;008b88
yangyuan;008c06
hardanger_fjord;008cb0
caspian_sea20;008cc4
upper_chesapeake_bay;008cce
lake_malombe;008cd3
hermite_isle;008cfb
usu_xinjiang;008d10
jieyang;008d29
praia_mansa;008d47
dien_chau;008d51
alaska_sea;008d5b
el_eglab_masif2;008d65
novopavlovsk;008e01
north_eastern_atlantic57;008e88
tk_emlups;008e92
two_rocks;008ea6
stora_balt;008ed3
teraina_coast;008ee7
xazl_iimt_island;008ef1
kerbi;008f0b
enping;008f15
ovaherero;008f33
dolomite_alps6;008f3d
siberian_wasteland_13;008f47
bolodek;008f4c
yap_high_sea_11;008f60
african_high_sea45;008f74
weimar;009088
shizhao;009097
imantau;0090a1
western_gotland_basin;0090ab
atlantic_north_equatorial_current17;0090c9
whitsunday_shore;0090d3
baimaguan;0090dd
middleton_island;0090ec
pacific_north_current9;0090f6
lairmairrener;009101
emba;00911f
staraya_ladoga;009129
ponte_nova;009142
juyom;009156
aalst;009160
kauehi_coast;009174
aono_raina_high_sea_5;009283
drigung;00928d
lake_kamennoye;0092ab
atlantic_southcurrent27;0092b5
atlantic_southcurrent42;0092bf
east_pacific_high_sea90;0092e2
qobustan;009310
palmas;009324
wemotaci;009342
tlachco;00934c
suamox;009365
chebogue;00936f
south_china_sea41;009479
treasury_islands;009483
panama_gulf;009497
huachi;0094a1
prins_christianssund_coast;0094a6
manna_point;0094b0
very_south_pacific_high_sea;0094ba
kanumera_bay;0094ce
north_western_pacific10;0094e2
atlantic_equatorial_countercurrent19;0094f1
siberian_wasteland_15;00951a
bayei;00952e
manicouagan;009538
western_atlantic_high_sea29;009547
xuande;009551
tikenliq;00955b
takume_coast;009688
asiniwaciy;00969c
kengtawng;0096ba
waveroo;00971a
jambi;009733
maraca_island;009747
guarau_island;009751
western_atlantic_high_sea16;009765
nullabor;00976a
balmaceda_lake;0097f1
african_high_sea11;009874
east_pacific_high_sea10;00987e
tuvalu_high_sea_2;009892
acapulco_bay;0098a6
atlantic_southcurrent6;0098b5
atlantic_north_equatorial_current14;0098d3
muzhech;00990b
karachev;00991f
radkan;009929
lower_ulz;00993d
almalik_chach;009947
astarabad;00994c
pacific_south_current20;009956
new_zealand_high_sea_16;0099b0
cape_tajura;009a74
coast_tripolitania;009a7e
cape_misurata;009a88
sirte_coast;009a92
west_bay_sidrah;009a97
east_bay_sidrah;009aa1
cape_tawinis;009aab
coast_cyrenaica;009ab5
cape_al_hilal;009abf
gulf_bomba;009ac9
bay_salum;009ad3
coast_marmarica;009add
cape_al_hikmah;009ae2
damietta_mouth;009b01
coastal_plain;009b0b
viljandi;009b15
coast_lebanon;009b1f
gulf_alexandretta;009b29
cape_tisan;009b2e
bay_haifa;009b38
bardawil_coast;009b42
bay_beirut;009b4c
cape_ad_dariah;009b56
morphou_bay;009b60
arabs_gulf;009bec
rosetta_mouth;009bf6
west_gulf_adalia;009c6a
gulf_mersin;009c74
east_gulf_adalia;009c79
gulf_finike;009c83
teke_peninsula;009c8d
cape_apostolos_andreas;009c97
cape_arnauti;009ca1
famagusta_bay;009cab
episkopi_bay;009cb5
akrotiri_bay;009cbf
levantine_sea2;009cc4
levantine_sea3;009cce
levantine_sea6;009cd8
libyan_sea2;009d0b
ionian_sea4;009d10
central_mediterranean_sea4;009d1a
chono;009d24
libyan_sea1;009d38
libyan_sea3;009d42
gulf_gabes2;009d4c
gulf_sirte1;009d5b
levantine_sea1;009de2
levantine_sea5;009dec
levantine_sea4;009df6
central_mediterranean_sea5;009e65
central_mediterranean_sea1;009e6f
central_mediterranean_sea3;009e79
central_mediterranean_sea2;009e83
wadden_sea;009ea6
kelantan_coast;009eba
atlantic_southcurrent28;009ec4
krasny_bor;009f10
scahentowanen;009f1a
toshima;009f2e
pacific_south_current52;009f38
donjek;009f3d
hamada_el_hamra;009f51
lake_batkhtegan;009fec
abegweit_passage;009ff1
caspian_sea28;009ffb
pacific_equatorial_countercurrent6;00a05b
central_east_ethiopian_mountains;00a065
henslow_bay;00a06f
arakan_mountains1;00a079
urama_island;00a09c
suluklu;00a0b0
lingshui_bay;00a0ce
jerantut;00a110
staraya_mayna;00a11a
north_pacific_high_sea93;00a129
tegen;00a13d
bohuslav;00a147
greenland_coast10;00a1e7
bering_coast3;00a1fb
mikasuki;00a25b
tsagaan_agui;00a265
ouasioto;00a26a
mbanza_mpemba;00a27e
seychelles_high_sea5;00a292
ebya;00a2b5
oqumkikiak;00a301
chidkhu;00a30b
samxay;00a315
bermuda_high_sea2;00a31f
sagadahoc;00a329
sao_roque;00a33d
numee;00a34c
arno_coast;00a3e7
zintan;00a3fb
balanggarra;00a456
oppdal;00a460
shaoyang;00a46a
hulu_mesuji;00a47e
sychyovka;00a492
north_hulsan_lake;00a497
karimata_strait1;00a4a1
te_henua_enana_high_sea_3;00a4bf
teshevka;00a4c9
lapland_taiga3;00a501
ann;00a50b
tu_dotlizh_ndee;00a515
pelisipi;00a529
atikonak;00a538
bolshoye_selo;00a542
gazzllatin;00a5d3
tapeng_bay;00a5dd
lake_ulungur;00a5e2
lake_urmia;00a5ec
koshkonong;00a64c
western_atlantic_high_sea28;00a656
zhognai_lake;00a660
andaman_sea;00a66a
terrace_bay;00a674
islands_bay;00a68d
petoi_point;00a6a1
oneida_lake;00a6ab
hermitage_channel;00a6b5
aikhal;00a6bf
amrabad;00a6c4
maratine;00a710
imbangala;00a724
pacific_south_current42;00a738
lake_bayan;00a7d8
tenacatita_bay;00a7ec
ishtixon;00a84c
uvea_coast_1;00a85b
sugeneb;00a865
akamba;00a86f
soyangi_trail;00a879
african_high_sea27;00a883
sihabi;00a897
south_sulu_sea;00a8a6
nkam_jungle;00a91a
chilcotin_mtns;00a92e
sangqu;00a938
western_australian_desert;00a93d
artillery_lake;00a9c4
gavrilovskoye;00a9ec
fuxian_lake;00a9fb
uvarovo;00aa51
mistahi;00aa5b
wide_bay;00aa79
akimiski;00aa83
pihlajavesi;00aa92
indian_coast47;00aa9c
pacific_tasmania_current3;00aab0
kolumba;00ab06
zhuanghe;00ab1a
siberian_wasteland_5;00ab1f
galo;00ab29
kokokachi;00ab33
sogne_fjord;00abce
atlantic_gulf_stream22;00abd3
lake_orog;00abdd
dzhulat;00ac3d
revillagigedo_islands;00ac51
ambriz;00ac5b
lubai;00ac65
denkanikottai;00ac74
xincheng_jianchang;00ac7e
flekkefjord;00ac88
western_singapore_strait;00ac92
karaginsky_coast3;00ac9c
haro_strait;00aca6
tuvalu_high_sea_1;00acb5
koyda;00ad01
magpie_massif;00ad0b
pikalyovo;00ad1f
kharan;00ad29
peling_strait;00addd
becharof_lake;00ade7
palmyra_coast;00adfb
tshwa;00ae3d
shimian;00ae4c
kitchigumi;00ae56
karmana;00ae60
mishan;00ae74
jadu;00ae7e
kosrae_high_sea_1;00ae92
garove_island;00ae97
north_eastern_atlantic23;00aea1
skanderna;00af0b
south_atlantic_countercurrent;00afb5
dippa;00afbf
atlantic_southcurrent51;00afd3
anetchininbeke_point;00afe2
keweenaw_bay;00afec
inner_sombrero_channel;00aff6
temiscamingue;00b038
mertola;00b042
chhmuoh_thmei;00b04c
doce_delta;00b060
sibda;00b074
anipitapiskow;00b079
indian_coast43;00b0a1
inagua;00b101
maxia;00b110
ngandi;00b11a
lake_wiyashakami;00b1b5
long_island_sound;00b1bf
rozkishna;00b1ce
bidanku;00b238
pacific_south_current77;00b24c
ung;00b256
pinggu;00b265
molsemtekw;00b28d
aono_raina_high_sea_11;00b297
byron_bay;00b2a1
indian_coast62;00b2a6
samani;00b306
merv;00b324
ankoro;00b3b0
australia_highseas_18;00b3c4
daguan;00b3ce
lake_sniardwy;00b3e2
irmingen_sea;00b3ec
hawaii_high_sea27;00b3f1
saruk;00b447
khalfut;00b451
