AAC;Aachen
NZL;Zealandia
OAH;O'ahu
ODA;Oda
ODH;Oudh
OEO;Oneota
OGD;Ogaadeen
OGS;Ogasawara
OHK;Ohkay Owingeh
OIR;Oirat
OJI;Ojibwe
OKA;Odoyev
OLD;Oldenburg
OMA;Oman
ONE;Oneida
ONO;Onondaga
OPL;Opole
ORD;Ormond
ORI;Orissa
ORL;Orleans
ORM;Hormuz
OSA;Osage
OSH;Osheaga
OSN;Osnabrück;Osnabruck
OTM;Otomo
OTO;Otomi
OTT;Ottawa
OUC;Ouchi
OYO;Oyo
PAD;Paderborn
PAH;Pahang
PAL;The Palatinate
PAN;Kalinjar
PAP;The Papal State
PAR;Parma
PAT;Pattani
PAW;Pawnee
PCH;Pacaha
PCJ;Pacajes
PDV;Padua
PEG;Pegu
PEN;Penobscot
PEO;Peoria
PEQ;Pequot
PER;Persia
PEU;Peru
PGA;Perugia
PGR;Pagarruyung
PGS;Pangasinan
PHA;U
PIC;Picardy
PIM;Pima
PIR;Pirates
PIS;Pisa
PLB;Palembang
PLC;Commonwealth
PLT;Polotsk
PLW;Palawa
POL;Poland
POM;Pomerania
POR;Portugal
POT;Potawatomi
POW;Powhatan
PRB;Porbandar
PRD;Parlakhimidi
PRG;Paraguay
PRK;Perak
PRM;Perm
PRO;Provence
PRU;Prussia
PRY;Port Royal
PSA;Pasai
PSK;Pskov
PSS;Passau
PTA;Patiala
PTE;Pate
PTG;Potiguara
PTL;Palitana
PTT;Patna
PUE;Pueblo
PUN;Punjab
QAR;Qara Qoyunlu
QAS;Qasim
QIC;Qi
QIN;Qin
QNG;Qing
QOM;Ajam
QTO;Quito
QUE;Quebec
QUI;Quizquiz
RAG;Ragusa
RAM;Ramazan
RAS;Rassids
REB;Rebels
REG;Regensburg
RFR;Nanbu
RHA;Rhade
RIG;Riga
RJK;Rajkot
RJP;Rajputana
RMN;Romania
RMP;Rohilkhand
ROM;Roman Empire
ROT;Rothenburg
RSO;Rostov
RTT;Ratanpur
RUG;Rügen;Rugen
RUM;Rûm;Rum
RUP;Ruppin
RUS;Russia
RVA;Dortmund
RWA;Rwanda
RYA;Ryazan
RYU;Ryukyu
RZI;Rozwi Empire
RZW;Butua
SAK;Siak
SAL;Salish
SAM;Samoa
SAR;Sardinia
SAT;Satapo
SAV;Savoy
SAX;Saxony
SBA;Shiba
SBP;Sambalpur
SCA;Scandinavia
SCO;Scotland
SDY;Sadiya
SEN;Seneca
SER;Serbia
SFA;Sofala
SHA;Shawnee
SHL;Holstein
SHM;Shammar
SHN;Shoni
SHO;Shoshone
SHR;Sharjah
SHU;Shu
SHY;Uzbek
SIA;Siam
SIB;Sibir
SIC;Sicily
SIE;Siena
SIL;Silesia
SIO;Sioux
SIS;Sistan
SKA;Sakalava
SKK;Sikkim
SLE;Salé;Sale
SLN;Sligo
SLO;Nitra
SLZ;Salzburg
SMB;Sambas
SME;Samtskhe
SMI;Sápmi;Sapmi
SMO;Smolensk
SMZ;Shimazu
SNA;Sonora
SND;Sindh
SOA;Shewa
SOF;Segu
SOK;Sokoto
SOL;Solon
SOM;Somalia
SON;Songhai
SOO;So
SOR;Lusatia
SOS;Sus
SPA;Spain
SPI;Sardinia-Piedmont
SPL;Spoleto
SRG;Surguja
SRH;Sirhind
SRM;Sirmur
SRU;Saruhan
SRV;Shirvan
SST;Shan
STA;Stadacona
STE;Stettin
STK;Satake
STY;Styria
SUK;Sukhothai
SUL;Sulu
SUN;Sunda
SUS;Susquehannock
SWA;Swabia
SWE;Sweden
SWI;Switzerland
SYG;Sarig Yogir
SYN;Synthetics
SYO;Soyo
SYR;Syria
SZO;Saluzzo
TAB;Mazandaran
TAH;Tahontaenrat
TAI;Tairona
TAK;Ngati Kahungunu
TAN;Tainui
TAR;Purépecha;Purepecha
TAU;Taungu
TBK;Tumbuka
TBR;Tabriz
TDO;Tondo
TEA;Ngati Ranginui
TEN;Tenkodogo
TEO;Teotitlan
TER;Ternate
TET;Tétouan;Tetouan
TEU;Teutonic Order
TEX;Texas
TFL;Tafilalt
TGT;Touggourt
THU;Thuringia
TIB;Tibet
TID;Tidore
TIM;Timurids
TIO;Tionontate
TIR;Tirol
TIW;Tiwi
TKD;Takeda
TKG;Tokugawa
TKI;Toki
TLA;Tlapanec
TLC;Tlemcen
TLG;Telingana
TLX;Tlaxcala
TMB;Timbuktu
TNG;Tang
TNJ;Tanjore
TNK;Ngati Toa
TNT;Trent
TOG;Tonga
TOK;Tonkin
TON;Tonala
TOR;Tortuga
TOT;Totonac
TOU;Toulouse
TPA;Tupinamba
TPQ;Tupiniquim
TPR;Tripura
TRA;Transylvania
TRE;Trebizond
TRI;Trier
TRP;Tripoli
TRS;Transoxiana
TRT;Tirhut
TRY;Tyrconnell
TSC;Tuscarora
TTI;Tsutsui
TTL;Three Leagues
TTS;Two Sicilies
TTT;Ngapuhi
TUA;Tapuia
TUN;Tunis
TUR;Ottomans
TUS;Tuscany
TVE;Tver
TYO;Tyo
TYR;Tyrone
UBH;Buha
UBV;Munich
UES;Uesugi
UHW;Hawai'i
UKR;Ruthenia
ULM;Ulm
ULS;Ulster
URB;Urbino
USA;United States
UTN;Utsunomiya
UTR;Utrecht
UTS;Tsang
VAL;Valencia
VEN;Venice
VER;Verden
VIE;Vientiane
VIJ;Vijayanagar
VIL;Viti Levu
VIT;Viti
VND;Venad
VNL;Vanua Levu
VNZ;Venezuela
VOC;Vereenigde Oostindische Compagnie
VOL;Galicia–Volhynia;Galicia-Volhynia
VRM;Vermont
VRN;Verona
WAD;Wadai
WAI;Waitaha
WAL;Wallachia
WAM;Wampanoag
WAR;Warsangali
WBG;Wurzburg
WCR;Cree
WCY;Wichiyena
WEN;Wenro
WES;Westphalia
WGD;Wagadugu
WIC;Wichita
WKA;Wanka
WLS;Wales
WLY;Welayta
WOL;Wolgast
WRU;Wurundjeri
WSI;West Indies
WUR;Wurttemberg
WUU;Wu
XAL;Xalisco
XIU;Xiu
YAK;Yaka
YAN;Yan
YAO;Yao
YAQ;Yaqui
YAR;Yaroslavl
YAS;Yas
YAT;Yatenga
YEM;Yemen
YKT;Yokuts
YMN;Yamana
YNU;Yanuwa
YOK;Yokotan
YOL;Yolngu
YOR;Andhra
YUA;Yuan
YUE;Yue
YZD;Yazd
ZAF;Macina
ZAN;Kilwa
ZAP;Zapotec
ZAZ;Zaporozhie
ZIM;Mutapa
ZND;Zandoma
ZNI;Zuni
ZUL;Zulu
ZUN;Dzungar
ZZZ;Zazzau
