AAC;Aachen
BIN;Çapakçur;capakcur
BIO;Ösel;osel
BIR;Biri
BIT;Bitlis
BJG;Bǎojìng;Baojing
BKZ;Banu Kanz
BLA;Buleda
BLB;Lebus
BLD;Bârlad;Barlad
BLE;Bale
BLG;Bologna
BLI;Bali
BLL;Bouillon
BLM;Belmont
BLN;Bolaang
BLO;Beloozero
BLS;Blois
BMB;Bambao
BMK;Bemanevika
BMP;Bampūr;Bampur
BMR;Bambara
BMS;Misnia
BNA;Bonai
BNB;Bernburg
BND;Bundelkhand
BNE;Bone
BNI;Báiní;Baini
BNL;Lam
BNT;Bentheim
BNY;Bunyoro
BOD;Bodonitsa
BOH;Bohemia
BOI;Boina
BOL;Dapitan
BON;Bonoman
BOR;Borgu
BOS;Bosnia
BOU;Bourbon
BOW;Bowontehu
BPR;Prome
BQA;Barqa
BQL;Baqlin
BRA;Brandenburg
BRB;Brabant
BRC;Berchtesgaden
BRD;Bardi
BRE;Brema
BRG;Berg
BRI;Brittany
BRL;Barlas
BRM;Bremen
BRN;Bern
BRO;Brecknock
BRR;Béarn;Bearn
BRS;Brescia
BRT;Buryatia
BRU;Brunswick
BRY;Bryansk
BRZ;Brzeg
BSC;Besançon;Besancon
BSD;Besüd;Besud
BSG;Busoga
BSH;Bashkir
BSK;Beeskow-Starkow
BSM;Boussouma
BSP;Bilaspur
BST;Bastar
BTE;Bantaeng
BTG;Batang
BTI;Simien
BTL;Tellīs;Tellis
BTN;Buton
BTU;Butuan
BUD;Büdingen;Budingen
BUG;Buganda
BUL;Bulgaria
BUR;Burgundy
BUS;Barus
BUU;Burundi
BVK;Bru
BWL;Beniwal
BXJ;Baxoje
BXN;Brixen
BYM;Bytom
BYZ;Byzantium
BZG;Buzen Nagano
BZH;Běishèng;Beisheng
BZN;Bazin
BZU;Bōzhōu;Bozhou
CAB;Chamba
CAD;Hasíinay;Hasiinay
CAG;Cagliari
CAM;Cambrésis;Cambresis
CAR;Carniola
CAS;Castile
CAT;Catalonia
CAU;Cuauhtlan
CAV;Calva
CBA;Chiba
CBH;Bhimber
CBK;Cobra
CCL;Cocollan
CCN;Cuicatlan
CCP;Cuauhcuetzpaltepec
CDC;Città di Castello;Citta di Castello
CDD;Chaundandi
CDL;Dali
CDN;Dōngguǎn;Dongguan
CEB;Cebu
CEM;Çemişgezek;cemisgezek
CEN;Ceneda
CEP;Cephalonia
CER;Chero
CES;Cesena
CET;Chester
CEV;Ceva
CFC;Colmar
CFN;Fāng;Fang
CFQ;Cofitachequi
CGU;Guō;Guo
CGZ;Chāngzhōu;Changzhou
CHA;Champa
CHB;Chobanids
CHC;Chahta
CHD;Chanda
CHE;Chén;Chen
CHG;Chagatai
CHH;Chiang Hung
CHI;China
CHJ;Churajon
CHK;Cahokia
CHL;Chełmno;Chelmno
CHM;Chimu
CHN;Chiny
CHP;Champagne
CHR;Chernihiv
CHS;Chickasha
CHT;Chorti
CHX;Chieri
CHZ;Chūzan;Chuzan
CIC;Chincha
CIH;Cihuatlan
CIL;Cilicia
CIN;Cina
CIR;Circassia
CJK;Cuijk
CJO;Chūjō;Chujo
CKL;Minyag
CKO;Köke Temür;Koke Temur
CKP;Chakan Putum
CLA;Clandeboye
CLC;Chalco
CLE;Chēlēi;Chelei
CLI;Cilli
CLL;Cholollan
CLM;Coliman
CLP;Chilapa
CLQ;Collique
CLR;Clanricarde
CLT;Carlat
CMA;West Connacht
CMN;Champaner
CMO;Máo;Mao
CMR;Camerino
CMS;Cemais
CNA;Naghachu
CNC;Canchi
CND;Candarids
CNH;Caüinachis;Cauinachis
CNL;Ah Canul
CNN;Connacht
CNP;Nánpíng;Nanping
CNT;Cainta
CNV;Canavese
COC;Cocom
COG;Cǎotáng;Caotang
COI;Yodzo Coo
COL;Coligua
COM;Comminges
CON;Coinan
COO;Coosa
COR;Corsica
COT;Cortona
COW;Coweta
CPA;Copa
CPN;Tzoapan
CPQ;Capachequi
CRA;Charka
CRH;Carinthia
CRI;Crimea
CRK;Churumekua
CRL;Urtsun
CRM;Cremona
CRN;Cornwall
CRO;Croatia
CRR;Finale
CRT;Candia
CSB;Cusabo
CSH;Shùn;Shun
CSI;Lǐ;Li
CSK;Chōsokabe;Chosokabe
CSM;Cozamaloapan
CSO;Sòng;Song
CSQ;Casqui
CSU;Qusqu
CTC;Coatlicamac
CTE;Cuitzeo
CTG;Tûng-nèn;Tung-nen
CTL;Chiyautla
CTM;Cháak te' éemal;Chaak te' eemal
CTO;Coto
CTR;Chitral
CTT;Chatot
CTW;Tiānwán;Tianwan
CTX;Cuetlaxtlan
CTZ;Coatzacualco
CUI;Cuismancu
CUL;Culhuacan
CUO;Cuauhtochco
CUT;Chutia
CUU;Cuauhnahuac
CUZ;Cutzamala
CVN;East Breifne
CWM;Clanwilliam
CXI;Xià;Xia
CYA;Sacha-p-qulla
CYP;Cyprus
CZK;Czersk
CZL;Cozalapan
DAA;Daura
DAH;Dahomey
DAI;Đại Việt;dai Viet
DAJ;Daju
DAM;Damot
DAN;Denmark
DAU;Viennois
DAW;Dawaro
DBD;Dambadeniya
DBE;Dobe'a
DCI;Decies
DCN;Dōngchuān;Dongchuan
DEG;Degar
DEN;Denbigh
DFN;Diafunu
DGB;Dagbon
DGE;Döger;Doger
DGL;Maldives
DGR;Bagar
DHB;Deheubarth
DHF;Dhofar
DHJ;Daihōji;Daihoji
DHK;Dahlak
DHM;Durham
DHU;Dhundhar
DIE;Diez
DIL;Dilmaçids;Dilmacids
DIM;Dimasa
DIS;Disentis
DIT;Dithmarschen
DJE;Djerid
DLH;Delhi
DLN;Dōnglán;Donglan
DMB;Domboli-Bosht
DMI;Dmitrov
DML;Domboli
DMS;Desmond
DNB;Dinkelsbühl;Dinkelsbuhl
DNE;Diné;Dine
DNG;Donggo
DOG;Dogra
DOI;Doi
DOM;Dompu
DPH;Diepholz
DRA;Dara
DRE;Dreux
DRG;Derge
DRP;Ramnagar
DRU;Drutsk
DRW;Dadrewa
DSN;Dasni
DTE;Date
DTI;Doti
DTM;Dortmund
DUL;Dulkadirids
DUN;Daun
DWG;Dàwáng;Dawang
DWS;Dawasir
DYG;Dǔyáng;Duyang
DYN;Dūyún;Duyun
DZH;Dǐzhài;Dizhai
DZK;Durdzuketia
EGL;Egil
EIC;Eichstätt;Eichstatt
ELA;Elayadathu
ELL;Ellwangen
ELY;Ely
EMA;Ema
END;Enderta
ENG;England
ENN;Ennarea
ENY;En'ya
EPI;Epirus
ERA;Ērānšahr;eransahr
ERB;Erbach
ERE;Eretnids
ERF;Erfurt
ERM;Warmia
ESS;Essen
ETA;Étampes;etampes
ETH;Ethiopia
ETZ;Etzatlan
EUD;Eudeve
EUF;Eufaula
EVR;Evreux
EVS;Everstein
EWY;Ewyas
FAB;Fabriano
FAE;Faenza
FAL;Fal
FBG;Freiburg
FCB;Franche-Comté;Franche-Comte
FCL;Firceall
FDL;Āl Faḍl;al Fadl
FEL;Feltre
FEO;Theodoro
FER;Ferrara
FEZ;Fez
FIN;Finland
FLA;Flanders
FLD;Fulda
FLK;Falkenstein
FLO;Florence
FLY;Offaly
FMA;Fermanagh
FMB;Fomin-Berezuesk
FMN;Fuman
FOI;Foix
FRA;France
FRE;Freising
FRI;Frisia
FRM;Fermo
FRN;Frankfurt
FRT;Ferrette
FRZ;Forez
FUL;Great Fulo
FUR;Fürstenberg;Furstenberg
FZA;Fezzan
FZH;Fùzhōu;Fuzhou
GAL;Gallura
GAR;Garabito
GAU;Gaur
GAZ;Gazaria
GBH;Grubenhagen
GBS;Gabès;Gabes
GCH;Cuauhchinanco
GDA;Godara
GDD;Gwynedd
GDW;Giduwa
GED;Gedi
GEL;Guelders
GEN;Genoa
GEO;Georgia
GFS;Gafsa
GGX;Guǎngxī;Guangxi
GHA;Ghana
GHL;Gohilvad
GHR;Garha
GJJ;Gojjam
GLA;Glauchau
GLC;Galicia
GLE;Geledi
GLH;Jochi
GLI;Gilgit
GLM;Galich-Mersky
GLN;Gleichen
GLO;Głogów;Glogpw
GLR;Glarus
GLS;Glens
GLU;Gāoluó;Gaolup
GLY;Galloway
GMG;Glamorgan
GMK;Mark
GNG;Gǒng;Gong
GNJ;Gonjo
GNN;Guǎngnán;Guangnan
GNV;Genève;Geneve
GOA;Goa
GOB;Gobir
GOL;Golog
GOR;Gorizia
GOS;Goslar
GOW;Gowa
GRA;Granada
GRF;Grafenau
GRG;Gurgan
GRK;Gurk
GRL;Greenland
GRM;Germiyanids
GRR;Garrochamba
GRS;Gorodets
GRT;Gorontalo
GRY;Gruyere
GSW;Güstrow;Gustrow
GTO;Gotō;Goto
GUB;Gubbio
GUG;Guge
GUL;Guale
GUO;Guarco
GUR;Fada N'gourma
GUY;Gascony
GWA;Gwalior
GWI;Gwiriko
GWL;Garhwal
GWR;Gower
GWT;Gwent
GWY;Guwayihi
GYA;Gyaaman
GYE;Gyelrong
GYO;Gayogohono
GYT;Gyelthang
GZH;Gǔzhōu;Guzhou
HAB;Austria
HAC;Hachberg
HAD;Hadoti
HAG;Haguenau
HAI;Hainaut
HAL;Halych
HAM;Hamburg
HBG;Heinsberg
HBN;Hasbani
HBR;Heilbronn
HBS;Halberstadt
HCH;Huamachuco
HCI;Haciemirids
HCK;Hoocak
HDA;Hada
HDH;Hildesheim
HDN;$hamadan$
HDR;Hadhur
HDY;Hadiya
HEH;Heidenheim
HEI;Hei
HEL;Chel
HES;Hesse
HEZ;Hézhōu;Hezhou
HGO;Khongorai
HHB;Hohenberg
HHK;Hohokam
HHP;Hsawng Hsup
HIE;Hienuki
HIG;Tō;To
HIT;Atcik-Hata
HJN;Holjaon
HJZ;Huexotzinco
HKK;Hakkari
HKM;Hkamti
HKZ;Hokuzan
HLE;God's House League
HLF;Helfenstein
HLG;Hüleguids;Huleguids
HLL;Hillah
HMD;Hamidids
HNA;Hanau
HNB;Henneberg
HNE;Hunehe
HNK;Hanan Chanka
HNM;Honma
HNV;Honnavara
HNY;Hasnuya
HNZ;Hunza
HOH;Hohenzollern
HOI;Hoifa
HOL;Holland
HOP;Hopi
HOR;Hor
HOX;Corvey
HOY;Hoya
HPL;Holstein-Plön;Holstein-Plon
HQG;Hèqìng;Heqing
HRB;Harb
HRC;Huarco
HRG;Hiraga
HRL;Harla
HRN;Horne
HSA;Hansa
HSC;Hansca
HSE;Hsenwi
HSF;Hersfeld
HSI;Hsipaw
HSK;Hosokawa
HSL;Hoysala
HSN;Ayyubids
HSP;Holstein-Pinneberg
HSR;Hishikari
HST;Teayotlan
HTA;Hatta
HTK;Hatakeyama
HTN;Hotin
HTR;Holstein-Rendsburg
HTY;Hatukay
HTZ;Huitzquilic
HUL;Huligai
HUN;Hungary
HUT;Hutaym
HUX;Huaxtepec
HVB;Havelberg
HYC;Hueyacocotla
HYM;Hy Many
HYT;Hytuk
HZH;Hóngzhōu;Hpngzhou
HZN;Hizan
HZP;Hazaraspids
HZR;Hazro
IAS;Iaşi;Iasi
IBL;Ibalon
ICE;Iceland
ICM;Ichma
IDR;Idar
IFA;Ifat
IFE;Ife
IHB;Ispahbad
IIX;Ii
IJB;Ijebu
IJE;Ijero
IJO;L'Isle-Jourdain
IJS;Ijesha
IJU;Ijūin;Ijuin
IKE;Ikeda
IMA;Imaal
IME;Imereti
IMG;Imagawa
IMO;Imola
INA;İnançids;İnancids
INH;Inhambane
INI;Inishowen
INJ;Injuids
INO;Inowrocław;Inowroclaw
INR;Indragiri
IRD;Irodo
ISA;Isa
ISD;Ishidō;Ishido
ISE;Ise
ISK;Isshiki
ISL;Shiewhibak
ISO;Isedo
ISW;Ishikawa
ITO;Itō;Ito
ITZ;Itza
IVG;Iveagh
IWS;Inawashiro
IXA;Iztapan
IXL;Ixtlan
IXT;Ixtacamaxtitlan
IYA;Ila Yara
IZC;Iztachacalapan
IZO;Itzohcan
JAL;Jalayirids
JAP;Japan
JAW;Jawor
JBL;Jubbal
JEC;Jecen
JER;Jersey
JEV;Jever
JFN;Jaffna
JHI;Johiya
JIZ;Jīshízhōu;Jishizhou
JJK;Jejakabhukti
JKR;Jauni Kurban
JLM;Jolemark
JLO;Jailolo
JLR;Jalore
JLW;Jhalawad
JLY;Jalayirs
JMB;Melayu
JNG;Junagarh
JNT;Jaintia
JOA;Joara
JOL;Jolof
JOV;Jovas
JPO;Nandapur
JRN;Jarin
JRW;Jarwanids
JSI;Jiànshuǐ;Jianshui
JSK;Jāsk;Jask
JSL;Jaisalmer
JUL;Jülich;Julich
JUR;Jurmanids
JUS;Jusheli
JUX;Yodzo Cuiya
JWR;Jawhar
KAB;Kaabu
KAG;Kagawa
KAI;Kaitag
KAL;Kale
KAM;Kaimana
KAN;Kano
KAQ;Kaqchikel
KAR;Karamanids
KAS;Kashin
KAW;Kaw
KBD;Kubadids
KBK;Kobayakawa
KBO;Kanem
KBR;Kabura
KCH;Karachev
KCN;Khachen
KDA;Kabardia
KDO;Kudō;Kudo
KDU;Padinjattedathu
KDW;Kadawdaachuh
KEB;Kebbi
KED;Kedah
KEE;Keenaght
KEL;Kelali
KER;Tsi'ya
KET;Ketu
KGK;Kyōgoku;Kyogoku
KGR;Kangra
KHF;Khaf
KHG;Khagya
KHM;Khmer
KHN;Kharan
KHR;Kherla
KHS;Khasa
KHT;$quhestan_area$
KHU;Khunj
KHZ;Khuzdar
KIC;K'iche'
KID;Kildare
KIE;Kyiv
KII;Kii
KIL;Kilis
KIM;Kiliman
KIP;Kipike
KIR;Kirchberg
KIT;Kitara
KJA;Keonjhar
KJK;Kajiki
KKA;Kanien'kehaka
KKC;Kikuchi
KKE;Killke
KKG;Kutai Kartanegara
KKL;Khalkhal
KKR;Khokhra
KKW;Kikkawa
KLA;Kalāt;Kalat
KLB;Kilab
KLE;Cleves
KLH;Kalahandi
KLI;Karauli
KLM;Kolomna
KLN;Klin
KLR;Kalhor
KLS;Kalisusu
KLT;Kolathunadu
KLU;Kullu
KLW;Kolwa
KMA;Kamata
KMG;Khamag
KML;Kumalarang
KMM;Cammin
KMN;Kumaon
KMP;Kempten
KMT;Kimotsuki
KMU;Khmu
KNA;Kana
KNB;Kawanobe
KND;Konda
KNE;Kaneko
KNG;Kong
KNI;Knights Hospitaller
KNK;Kanker
KNO;Kawano
KNT;Kutsuna
KNW;Konawe
KNZ;Konstanz
KOD;Koda
KOJ;Jerusalem
KOK;Kōsaka;Kosaka
KOL;Cologne
KOR;Goryeo
KOS;Kostroma
KOU;Kō;Ko
KOW;Kowoj
KOZ;Kōzai;Kozai
KPL;Koppula
KRA;Kira
KRD;Karasids
KRI;Kurani
KRK;Karanka
KRM;Kerman
KRP;Kuripan
KRT;Kartids
KRW;Karagwe
KSA;$kashan$
KSH;Kashmir
KSI;Kasai
KSK;Kaskinampo
KSN;Kusunoki
KST;Koasati
KSW;Kishtwar
KTB;Kitabatake
KTG;Kengtung
KTL;Kutlehar
KTN;Kuttanad
KTO;Kotō;Koto
KTS;Katsina
KTT;Khuttal
KTU;Kathmandu
KTW;Kartawi
KTZ;Katzenelnbogen
KUK;Kuku
KUR;Courland
KUS;Kuskatan
KUT;Kutch
KUY;Kuy
KYA;Kottayam
KYB;Kyburg
KZK;Kozelsk
KZY;Kazym
LAC;Sotz'leb
LAM;Lamu
LAN;Lancaster
LAT;Constantinople
LAU;Saxe-Lauenburg
LAV;Lavo
LBB;Lubeca
LBO;Léibō;Leibo
LBV;Lower Bavaria
LCA;Como
LCK;Khorshidi
LCU;Lucerne
LCZ;Łęczyca;leczyca
LDA;Landau
LDB;Landsberg
LDU;Lundu
LEI;Leinster
LEK;Lekia
LEU;Leuchtenberg
LGC;Legnica
LGE;Linge
LGK;Langkasuka
LGQ;Lóngquán;Lpngquan
LGT;Lingtsang
LGZ;Lóngzhōu;Lpngzhou
LHJ;Lahijan
LHL;Lahul
LIC;Lichtenberg
LIE;$liege$
LIG;Ligor
LIM;Limbourg
LIN;Lai'an
LIP;Liptako
LIT;Lithuania
LIV;Livonia
LJG;Lijiang
LLN;Lùliáng;Luliang
LLS;Luóluósī;Luplupsi
LMN;Lho Mon
LNA;Lan Na
LNG;Liáng;Liang
LNK;Landak
LNN;Leiningen
LNO;Lanao
LOI;Isles
LOL;Loloda
LON;León;Lepn
LOO;Loon
LOR;Lorraine
LPG;Lípíng;Liping
LPP;Lippe
LRT;Larantuka
LSA;Lausanne
LST;Larestan
LTN;Litang
LTU;Làntǔ;Lantu
LUB;Lübeck;Lubeck
LUC;Lucca
LUN;Lüneburg;Luneburg
LUP;Lupijaki
LUR;Laur
LUW;Luwu
LUX;Luxembourg
LWA;Limbuwan
LXG;Luōxióng;Luoxipng
LYA;Lyapin
LZI;Lianghzai
LZO;Luózuǒ;Lupzuo
MAA;Maasai
MAB;Ma'bar
MAC;March
MAG;Magdeburg
MAI;Mainz
MAJ;Majapahit
MAK;Makuria
MAL;Mali
MAM;Egypt
MAN;Mantua
MAO;Maolian
MAR;Maryul
MAT;Tollohcan
MAU;Mau Ganj
MBA;Mombassa
MBD;Manabondro
MBL;Tohomé;Tohome
MBT;Mbata
MBZ;Bregenz
MCC;Michuachapanco
MCI;Muchi
MCM;Munster
MDA;Medina
MDI;Mogadishu
MDM;Marsan
MDN;Minden
MDS;Manderscheid
MDY;Madya-as
MEC;Mecca
MED;Medri Bahri
MEI;Meissen
MEM;Memmingen
MEN;Menteşeids;Menteseids
MET;Metztitlan
MEW;Mewar
MFA;Montferrat
MFE;Mansfeld
MFK;Feldkirch
MGD;Wenduling
MGE;Mongolia
MGG;Mangyül Gungthang;Mangyul Gungthang
MGK;Möng Ku;Mong Ku
MGM;Mogami
MGN;Möng Ngüm;Mong Ngum
MGT;Möng Mit;Mong Mit
MHA;Möng Hsa;Mong Hsa
MHC;Melahuacan
MHK;Möng Hkeng;Mong Hkeng
MHL;Mahilaka
MHN;Möng Hten;Mong Hten
MHT;Miahuatlan
MHU;Mǎhú;Mahu
MIE;Maine
MIG;Migita
MIH;Mihrabanids
MIR;Imerina
MIS;Minsk
MIT;Mitic
MIU;Miura
MIX;Yucu Dzaa
MIY;Miya
MJU;Mayurbhanj
MKA;Möng Kawng;Mong Kawng
MKG;Mekongga
MKL;Mecklenburg
MKN;Möng Köng;Mong Kong
MKO;Mashiko
MKR;Makran
MKT;Munakata
MKW;Merkewan
MLB;Kangleipak
MLE;Mílè;Mile
MLG;Mǎlóng;Malpng
MLH;Mühlhausen;Muhlhausen
MLI;Malindi
MLL;Mallorca
MLM;Mong Lem
MLN;Malinalco
MLO;Milan
MLT;Malacato
MMA;Möng Mao;Mong Mao
MMI;Momonoi
MMM;Mam
MNA;Maynila
MNB;Menabe
MND;Mondovi
MNG;Míng;Ming
MNI;Möng Nai;Mong Nai
MNJ;Manjung
MNK;Mankessim
MNL;Mangalai
MNM;Minami
MNN;Mann
MNU;Melanau
MNZ;Mínzhōu;Minzhou
MOD;Modena
MOG;Mologa
MOM;Momboares
MON;Montfort
MOO;Moro
MOR;Morocco
MOS;Muscovy
MOU;Mouzon
MOY;Moray
MOZ;Mozambique
MPE;Maguela
MPR;Mamprugu
MRA;Maravi
MRB;Merseburg
MRC;La Marche
MRH;Al Murrah
MRI;Mōri;Mori
MRK;Marrakesh
MRM;Murom
MRN;Moronene
MRP;Kutai Martapura
MRS;Moers
MRT;Mortain
MRV;$merv$
MRW;Marwar
MSB;Mosbach
MSD;Masuda
MSN;Musuniri
MSO;Mesocco
MSP;Malaspina
MSV;Mstislavl
MTA;Macerata
MTB;Montbéliard;Montbeliard
MTD;Matsuda
MTG;Möng Ting;Mong Ting
MTH;Meath
MTO;Maintirano
MTR;Mataranga
MTY;Mitoya
MTZ;Metz
MUA;Muang Sua
MUL;Mulhouse
MUN;Münster;Munster
MUO;Muong
MUR;Murbach
MUS;Mus
MUT;Mutayr
MVA;Moravia
MWG;Morgannwg
MWO;Möng Wo;Mong Wo
MXT;Mexticacan
MYA;Möng Yang;Mong Yang
MYH;Miyoshi
MYI;Ma-i
MYM;Mayonmarka
MYO;Mayo
MZB;Mzab
MZF;Muzaffarids
MZJ;Mazenjani
MZK;Muzaka
MZN;Tabaristan
MZT;Mizantla
MZW;Mizawa
NAG;Nagar
NAI;Nagai
NAM;Namur
NAP;Naples
NAS;Nasu
NAV;Navarre
NAW;Nawa
NAX;Naxos
NBH;Nubhor
NBU;Nanbu
NCN;Nangchen
NCZ;Natchez
NDN;Nándān;Nandan
NEG;Negroponte
NEK;Nekok Yaotl
NEL;Nellenburg
NEO;Neopatria
NEU;Neuchâtel;Neuchatel
NEV;Nevers
NEY;Neyen
NGD;Negüderi;Neguderi
NGL;Ngali
NGM;Naganuma
NGN;Nagano
NGZ;Níngzhōu;Ningzhou
NHS;Nordhausen
NID;Nidda
NIE;Nienburg
NIT;Nitta
NKD;Nikaidō;Nikaido
NKI;Nitsuki
NKJ;Nakajima
NKO;Nkore
NLG;Ānlóng;anlpng
NLU;Nalou
NMB;Naumburg
NMD;Niemodlin
NMS;Namysłów;Namyslpw
NND;Ñuu Ndiyi;nuu Ndiyi
NNN;Ānnán;annan
NOG;Nogai
NOL;Northumberland
NOR;Norway
NOV;Velikiy Novgorod
NPG;Qíjiāng;Qijiang
NQS;Naqis
NRB;Narbonne
NRI;Nri
NRK;Novogrudok
NRM;Normandy
NRP;Nurpur
NRS;Narsinghpur
NSA;Nassau
NSD;Nassau-Dillenburg
NSH;Nassau-Hadamar
NSI;Nassau-Idstein
NSL;Novosil
NSR;Nan Sarunai
NSS;Nassau-Siegen
NST;Nashit'ush
NSU;Nsudi
NSW;Nassau-Weilburg
NTA;Canta
NTC;Jimyōin;Jimyoin
NTL;Mahajangā;Mahajanga
NUP;Nupe
NUR;Nuremberg
NVS;Novgorod-Siverskyi
NWG;Naugard
NWU;Niuwu
NYA;Nyarong
NYM;Boeny
NYS;Nysa
NYZ;Níngyuǎnzhōu;Ningyuanzhou
NZH;Nizhny Novgorod
NZN;Nanzan
OAP;Oapan
OBA;Ōba;oba
OBD;Obdor
OBW;Obwalden
OCT;Ocute
ODA;Oda
ODO;Odoli
OEL;Oleśnica;Olesnica
OET;Oettingen
OFB;Offenburg
OGA;Ogamo
OGK;Holy Roman
OGL;Ouargla
OGO;Ōgo;ogo
OGS;Ogasawara
OGU;Oguni
OHK;Ohkwee Ówîngeh;Ohkwee pwingeh
OHR;Ōhira;ohira
OID;Ōida;oida
OIL;Oriel
OIR;Oirat
OKE;Oke-Ila
OKI;Ōsaki;osaki
OKR;Ōkura;okura
OLD;Oldenburg
OMA;Oman
OMT;Ometepec
OND;Ondo
ONN;Onondowa'ga
ONO;Ononda'gega'
ONW;Oiniwar
ONY;Onyota'aka
OOB;O'ob
OPL;Opole
OPV;Opava
ORA;Orange
ORD;Ormond
ORE;Oreshek
ORI;Orissa
ORL;Orleans
ORM;Ormus
ORT;Ortenburg
OSN;Osnabrück;Osnabruck
OSS;Ossory
OSW;Oświęcim;Oswiecim
OTA;Otatitlan
OTM;Ōtomo;otomo
OTO;Xaltocan
OUA;Wagadugu
OUC;Ōuchi;ouchi
OWO;Owo
OXT;Oxtlipan
OYM;Oyama
OYO;Oyo
OZL;Ozuluama
OZT;Oztoman
OZU;Ozumatzin
PAC;Pacaca
PAD;Padua
PAH;Pahang
PAL;Rhine
PAN;Pǔ'ān;Pu'an
PAP;Rome
PAR;Parma
PAV;Pavia
PCD;Píngchádòng;Pingchadong
PCH;Pacaha
PCJ;Paka Jaqis
PCO;Parinacocha
PCR;Pocra
PDB;Paderborn
PDG;Píngdìng;Pingding
PDK;Prudnik
PDN;Pǔdìng ;Puding 
PDU;Cochin
PEA;Perugia
PEG;Hanthawaddy
PEM;Pemba
PER;Périgord;Perigord
PES;Pesaro
PGB;Píngbà;Pingba
PGL;Pugal
PGS;Caboloan
PHY;Phayao
PIC;Picardy
PIE;Piedmont
PIG;Pinagua
PIM;Akimel O'odham
PIN;Pinya
PIO;Piombino
PIS;Pisa
PJT;Pudjananti
PKR;Passokkorang
PLA;Pal Lahara
PLB;Palembang
PLE;Pale
PLK;Płock;Plock
PLL;Pulilu
PLN;Plauen
PLT;Palitana
PLY;Pelym
PMB;Pembroke
PMS;Pomesania
PNA;Punia
PNC;Poonch
PNI;Pannai
PNK;Pinsk
POI;Poitou
POK;Polotsk
POL;Poland
POO;Powo
POR;Portugal
POS;Powis
PPK;Ppanka
PPT;Papantlan
PRA;Prato
PRC;Perche
